"Germany", "Germany"
"Austria", "Austria"
"Switzerland", "Switzerland"
"Netherlands", "Netherlands"
"Invoice", "Invoice"
"ratepay_rechnung", "Invoice"
"ELV", "Direct Debit (SEPA)"
"ratepay_directdebit", "Direct Debit (SEPA)"
"instalment", "instalment"
"ratepay_rate", "instalment"
"0% Financing", "0% Financing"
"ratepay_rate0", "0% Financing"
"IBS", "Integrated Payment Solution (IBS)"
"General Settings","General Settings"
"Advanced Settings","Advanced Settings"
"Enabled","Enabled"
"Title","Title"
"Method Enabled", "Enabled"
"Specific Countries Billing","Billing countries selection"
"Specific Countries Delivery","Delivery countries selection"
"Specific Currencies","Currency"
"Specific Currencies","Currencies selection"
"Specific Categories","Invalid product categories"
"Specific Shipping","Invalid shipping methods"
"No Restriction","No restrictions"
"Hook Deliver","Extend delivery"
"Hook Creditmemo","Extend credit memo"
"Hook Cancel","Extend cancellation"
"Confirmation Deliver Event","Delivery confirmation"
"Specific States Before Delivery","State before delivery"
"Specific States After Delivery","State after delivery"
"Specific Statuses Before Delivery","Status before delivery"
"Specific Statuses After Delivery","Status after delivery"
"Delivery","Delivery"
"Specific Customer Groups","Allowed customer groups"
"All Customers","All customers"
"Profile-Id","Profile-Id"
"Security Code","Security Code"
"Get Config","Get configuration"
"Status RatePAY", "Status RatePAY"
"Minimum Order Total","Minimum order amount"
"Maximum Order Total","Maximum order amount"
"Maximum Order B2B", "Maximum order amount B2B"
"Activate Sandbox","Activate sandbox"
"Due days", "Dynamic due date"
"Rate Minimum", "Minimum instalment"
"Month Allowed", "Term in months"
"Enable elv", "Activate direct debit (SEPA)"
"Activate Logging","Activate logging"
"Sort Order","Sort order"
"RatePAY privacy policy URL","RatePAY data privacy policy URL"
"SEPA Account Information", "IBAN account information"
"Classic Account Information", "Classic account information"
"Account holder","Account holder"
"Bank name","Bank name"
"Bank code number","Bank code number"
"Account number","Account number"
"IBAN","IBAN"
"Ratepay address","RatePAY GmbH, Franklinstra&szlig;e 28-29, 10587 Berlin"
"Wirecard address", "Wirecard Bank AG, Einsteinring 35, 85609 Aschheim"
"Creditor","Creditor identifier"
"RatePAY Creditor ID","DE39RPY00000568463"
